Text,string_City,score_Count People Found Review Helpful,date_Date Created,string_Name,score_Overall Rating,string_Place Location,string_State,string_User Name,Concepts
Had a great experience here! Went straight to the concierge desk in the back because I knew what I had in mind and Luisa helped me get my earrings in no time. Great customer service and liked the selection of merchandise. Planning to come back for piercings soon!,Boston,0,2024-07-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Anna Potts,
queen staff!!! they really were excited that i was excited and i feel excellent vibes in my new necklaces!,Boston,0,2024-11-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Eliza McKown,
"I purchased the small croissant ring at the Newbury Street store. The stylists were extremely friendly, knowledgeable and helpful. All my questions were answered. I didnt have to wait to be helped and the checkout was easy. The jewelry is beautiful. Im looking forward to future purchases.",Boston,0,2024-02-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Patty Longo,
"Holly , Paola and The Team Are Very,~ Friendly & Respectful",Boston,0,2024-05-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Fadolo,
"Just made a purchase here, Nadia was extremely helpful and was definitely a good part of the reason I decided on getting the bracelet I purchased.Some details of my visit include an extremely short visit 2 days before the day I purchased the bracelet. The store was packed but I still definitely got the help I required, not to mention that she remembered the visit.Overall a great experience at Mejuri",Boston,0,2024-02-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Ernest Goh,
"I was SO excited to hear Mejuri was opening a store on Newbury. Such a clean and fresh looking store. I had my eye on a pair of earrings (unfortunately not carried in store, but was able to try on other options to get a size reference) and Simone helped me lock in my purchase. Ive had my eye on so many quality pieces and it was super cool to see them all in person. Will definitely be back for my next piece!!",Boston,0,2023-02-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Danielle Poublon,
The ladies working here were super helpful and very accommodating! I was really excited to have Mejuri somewhere close and the store experience definitely didnt disappoint! Its definitely a great experience being able to try on the jewelry before buying :),Boston,0,2024-02-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Chirbee Dy,
"service was so bad, some of the staff members (including the manager at the time) were so blatantly unhelpful and seemed to have zero knowledge regarding products/services. staff member had to get manager to advise me how to use klarna (which they promote in the store), and manager said ""ive never had a credit card so idk how klarna works"" as her form of assistance. staff members were so monotone and seemed like they didnt want to be there, except for two. i have worked MANY customer service jobs so i didnt want to be a big stickler, but this was just unacceptable. made my friend and i super uncomfortable and peeved, would never come back here again.",Boston,1,2024-02-10 00:00:00,Mejuri,1,"126 Newbury St, Boston, MA",MA,libra dom,
They were so lovely and helpful when I needed to make an exchange,Boston,0,2024-09-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Madeleine Lewis Smith,
"WARNING:Make sure that they are selling you the correct item!I had a terrible experience at this Newbury St location in Boston. I was looking for a specific item and one of the sales associates tried to sell me something completely different. Thankfully, another associate pointed out that it was the incorrect item. However, when the mistake was pointed out, the first associate shrugged and said eh, its close enough. I was so shocked by the lack of care and customer service, especially considering the high prices of your products.",Boston,2,2023-02-10 00:00:00,Mejuri,1,"126 Newbury St, Boston, MA",MA,Anna Belle Harada,
"I just visited Mejuri and had the worst possible experience. I am a frequent shopper of Van Cleese Arpels and Cartier. I was wearing this when I walked into the shop looking at rings. The woman working there dismissed me as soon as I walked in and said out loud "" use hand sanitizer before and after!!!"". I had not even picked up a piece of jewelry. I asked her to make sure what she knew she was saying because I was so shocked. Then she said it again. I am a VIC at Louis Vuitton and literally was wearing 40k in Cartier. To be treated like trash is beyond me. This place deserves to go down in flames. I get fliers all the time at my high rise apartment asking to visit. This place is trashy just like their associates. You should skip it!",Boston,0,2024-02-10 00:00:00,Mejuri,1,"126 Newbury St, Boston, MA",MA,Bethany Grace,
Had an amazing experience shopping at this location. Chris the sales associate was super knowledgeable and made the experience super seamless. Thanks Chris!,Boston,0,2024-06-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Shayna Salomon,
Cant say enough good things about this store and this brand. I love Mejuri. The product is such high quality and so are the team members.,Boston,0,2024-02-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Hannah St. Laurent,
The Newbury St store in Boston  is conveniently located near the Copley T stop. The staff is very friendly and there is a great selection on all the Mejuri products. I highly recommend that you visit this store.,Boston,0,2024-02-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Ann Cole,
My bracelet claims to be 14k but it turns almost pinkish color. Sus🫤,Boston,0,2024-08-10 00:00:00,Mejuri,1,"126 Newbury St, Boston, MA",MA,Mary Joy Geronimo,
Love love love!! Not only is the jewelry beautiful but the customer service is amazing. The employees are so welcoming and friendly. I would 10/10 recommend!,Boston,0,2023-02-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Abby Guttman,
I found the perfect rings thanks to the help of their staff. They were really helpful in assisting me with different options. Will definitely be back again!,Boston,0,2024-02-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Erin Kim,
This place is awesome! All of the sales associates are so nice and helpful. Its also super clean and has a well thought out floor plan,Boston,0,2023-02-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Alex Miller,
"Such a wonderful shopping experience. The sales team was so helpful, kind, and informative. 10/10 recommend for products and shopping experience.",Boston,0,2024-02-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Cenia Goldstein,
Had a great experience at this Mejuri. Multiple people guided me and helped me find an awesome set of rings.,Boston,0,2024-02-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Serena P.,
"Phenomenal personalized shopping experience. Chris and the entire team are warm, friendly and amazing!",Boston,0,2024-02-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Ellandrea Mckissack-Baffield,
Unfortunately very understaffed. Had to wait outside when the store was half empty and decided to go elsewhere,Boston,0,2024-05-10 00:00:00,Mejuri,2,"126 Newbury St, Boston, MA",MA,John Morfopoulos,
"Great selection! Awesome stylist, 10/10 experience!",Boston,0,2024-02-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Shauntelle Wisdom,
"Great selection, prices, and service. Pleased with the experience.",Boston,1,2024-02-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Assen Marintchev,
"Friendly staff, and prices were reasonable.",Boston,0,2024-02-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Holly Backus,
good,Boston,0,2024-06-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Asif Salimov,
Friendly and knowledgeable staff!,Boston,0,2024-05-10 00:00:00,Mejuri,5,"126 Newbury St, Boston, MA",MA,Fahad,
Bad service 🤢,Boston,0,2024-02-10 00:00:00,Mejuri,1,"126 Newbury St, Boston, MA",MA,Yuxin Liu,
Store is closed,Boston,0,2025-02-09 00:00:00,Mejuri,1,"126 Newbury St, Boston, MA",MA,유선일,
"I really appreciated the time our stylist took to help me pick out pieces for my family. She was able to make suggestions that felt relevant to each person and their lifestyle, and was very knowledgeable with the products. I wish I grabbed their name, but they were great at their job! :)",Brooklyn,0,2025-01-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,Nora kraft,
"Easily the worst returns experience Ive ever had. I waited one month for a DHL return driver to come to my house at the dates I provided but they never came on those dates. I had to pay return postage myself using Australia Post only to be told that they wouldnt refund my small return cost, and would charge me another processing fee. I had no choice but to use Australia Post after a month of waiting. Every time I email Mejuri, a different customer experience person would respond who didnt seem to have read the whole email thread. As a result of shopping with Mejuri, Im out of pocket and have had my time wasted. I would not recommend.",Brooklyn,0,2025-01-10 00:00:00,Mejuri,1,"107 N 6th St, Brooklyn, NY",NY,Stephanie Goodlad,
Mejuri Williamsburg was so helpful. My stylist Grace took her time helping us. We went in having specific ideas of what we were looking for and with Graces help we were able to get exactly what we needed.,Brooklyn,0,2025-01-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,Keely Bari,
"Mejuri Williamsburg is hands down the BEST location in NYC!!! Nayaa and Janaya were so helpful, they made sure I had a great experience!!! Im so happy with my new pieces and will definitely be going back!!!",Brooklyn,0,2024-12-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,Leah Angulo,
Absolutely love coming into the Mejuri Williamsburg store. The selection is great and the staff are the absolute friendliest. They are well-informed and not pushy. Highly recommend coming here!,Brooklyn,0,2024-11-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,T C,
"Funny how Mejuri stores are popping left and right in every city I own apartments in. I dont know who works harder... my real estate agent or Mejuris commercial real estate team?? Either or, Im just happy I got a local Mejuri store in every city to buy jewelry for my side thing, eh.",Brooklyn,2,2024-02-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,Marco Marone,
"Matt did three piercings on my ears today and he was so lovely to work with. An obvious expert with all the tips and tricks. He was friendly, kind, and patient. Whether you are getting your first piercing or the next of many, I cant recommend him highly enough!",Brooklyn,1,2024-10-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,Alexandra [Ali] Patterson,
"My daughter had her ears pierced, and it went really smooth. I can recommend Matt highly and without any reservation.",Brooklyn,0,2025-01-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,Polina Medvedeva,
"I LOVE the Mejuri Williamsburg store! Everyone is so nice and helpful. I always get great recommendations, and I really appreciate that the associates who have helped me in the past remember my preferences. Also, Im OBSESSED with the jewelry. At this point I have transitioned almost my entire jewelry collection to Mejuri pieces. Well made, extremely stylish, and long lasting. Ill keep coming back over and over again! Highly recommend.",Brooklyn,0,2024-07-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,Crystal McQueen-Taylor,
"Matt, the head piercer at this location, was absolutely INCREDIBLE. He walked us through the piercing process with such ease and reliability. He truly made the process of my partner receiving their first piercing fun and safe! I also got to finally visit a storefront in person and grabbed a few earrings for my second holes in my ears and have loved wearing them everyday since. The staff was SO incredibly kind and even helped us take a polaroid of our visit with such joy. It only further enforced in me what I knew about this brand -- the quality and mission are incredible! I cannot wait to come back.",Brooklyn,0,2024-05-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,Rachel Joy-Monet,
Was with a friend who brought a cute ring from here. Wanted to give them a great review of how friendly the representatives were. Offered me water while I waited. Next time in NY def stopping by here again.,Brooklyn,0,2024-09-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,Nieci Gullatt,
Purchased the heirloom ring while visiting NYC with my mom. Had the best experience with Kara - she was amazing and so patient with my mom and I. I came back after only 20 minutes to buy the ring. Totally recommend this location and be sure to ask for Kara!,Brooklyn,0,2024-02-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,Trisha Fernandez,
I love shopping at Mejuri online to get my wife necklaces and bracelets so we were excited to shop in store for the first time. Its a real shame that the whole duration no one helped us at all while the employee kept asking everyone else if they have been helped out yet. Also odd that the security person inside were following us the whole time and no one else. I guess Ill just stick to shopping at Mejuri online.,Brooklyn,0,2024-08-10 00:00:00,Mejuri,2,"107 N 6th St, Brooklyn, NY",NY,Ilyas Mohd Yusof,
"I had a great experience at Mejuri Williamsburg!! Geo was my sales associate and he was warm, personable, and very detailed. He found great pieces for me and the experience was wonderful. I love everything I purchased. Thank you Geo for being awesome!!Jason did my piercing and recommended the perfect placement for me. I was indecisive but he was patient and wanted to make sure I had a great experience.",Brooklyn,1,2024-02-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,Maryanne Ravenel,
Had a really fun time at the Mejuri store getting piercings with my mom for our birthdays. The store is beautiful and well stocked and the staff is super friendly. Definitely recommend Mejuri for anyone looking for affordable and stylish jewelry.,Brooklyn,0,2024-05-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,Bianca Gras,
I had to returned the jewelry  I bought few months ago. Mindy from Brooklyn store was very professional and kind enough to make it so easy. Not every store welcome for returning  items but she made me feel VIP of the day.Her smiles and kindness will make me return to the store as regular customer in the future ! Thank you Mindy 🙏😊❤️❤️,Brooklyn,0,2024-04-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,Blue moon on the Cloud,
"had an outstanding experience with GABBY! she was so attentive and knowledgeable, and extremely patient as i tried about a million different items. shes great!",Brooklyn,0,2024-09-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,Marissa Michaels,
Got a piercing appointment as a gift for Christmas and I got an email the day of my appointment from Mejuri cancelling my appointment with no offer of making it right. Not cool.,Brooklyn,0,2025-01-10 00:00:00,Mejuri,1,"107 N 6th St, Brooklyn, NY",NY,Nicole Perry,
Kim is amazing! Helped me find a gift so quickly and was so so nice. Great experience,Brooklyn,0,2024-12-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,Ciara C,
If you are looking for a jewelry store without worrying if you are getting scammed. The jewelry here is great looking and is legit.As far as the in store experience goes is a 1000/10. Mindy went above and beyond staying open past closing to help me last second. I called in and when I arrived the order was ready. I will be coming back to this store.Customer service is wonderful.The store looks modern and inviting.The jewelry is worth your dollar.,Brooklyn,0,2024-02-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,Emmanuel T,
"Popped in the store today just to browse. Staff was so lovely and attentive, 2 sales associates made sure to approach me to ask me if I needed help & let me know the sizes of the rings displayed and to feel free to try on. Will definitely return again soon and make another purchase,",Brooklyn,0,2024-06-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,Amber N. Seymore,
Went in to pick up an online order (so I could make sure the sizing was perfect) and was greeted by Geo. This associate assisted me from the minute I walked in the door and made sure I was completely satisfied when I left! Mindy also assisted with sizing and offered advice on sizing. Both people were great! Definitely worth the trip to the store!!!,Brooklyn,0,2024-02-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,E Jo,
"I came here today to pickup an order and everyone in the store was super friendly and welcoming! They also have complimentary drinks that they offer to customers as well which is nice. I was helped by one of the employees by the name of Nayaa and she was very friendly and pleasant to be around, will definitely be coming back to this location.",Brooklyn,0,2024-02-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,Adriana Stevens,
"I chose to visit this location over the one in Soho because of the reviews. (I figure this location is more inaccessible to tourists, lol.) I was immediately greeted when I walked through the door, was provided sizing and styling advice for the rings I purchased, and was able to snag the gift I came into the store for.THANK YOU KAYLA!!!",Brooklyn,0,2024-04-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,Asia Moore,
"Not to throw shade at the brand, I use Mejuri jewelry for some of my everyday accessories, meaning this was not my first time shopping from the brand, so I came in knowing exactly what I wanted. At first the young woman who asked me what I was looking for seemed like she was not in the mood for working. Without even making an effort to check, she first said that the earrings I wanted were not available in-store. Right after I said Ok, I guess Ill just make my purchase online she magically remembered they were in stock in the back room! The whole 5 minutes I was there she acted as if she was doing me a favor. Honestly, such a disappointing attitude from their staff for such beautiful stores with affordable and cute jewelry.",Brooklyn,3,2024-02-10 00:00:00,Mejuri,3,"107 N 6th St, Brooklyn, NY",NY,Alejandra Rodriguez,
"As much as I love Mejuri and the product, I had a really poor experience in the Williamsburg store. I went in knowing exactly what I wanted, and wasnt approached by a salesperson in the ~15 min I was in there and trying things on, as I saw them walk right past me to another customer multiple times. I felt uncomfortable/invisible enough to walk out without buying anything.",Brooklyn,4,2024-02-10 00:00:00,Mejuri,1,"107 N 6th St, Brooklyn, NY",NY,Natalie Gulla,
"My friend and I both had such a great experience. We were on the hunt for a very specific piece, and Cecelia was so helpful and kind. Great jokes too! We ended up leaving with exactly what we were looking for. I would return just to shop with Cecelia again.",Brooklyn,0,2024-02-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,Tara Mitchell,
This was my first Mejuri purchase. Kim was wonderful and eloquent in her explanation of different options that I mightve been interested in. Everyone was friendly and not at all pushy. Even though I only got a fairly affordable piece I still received excellent service. Highly recommend!!,Brooklyn,1,2024-02-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,Parker Totten,
Amazing customer service from Geo! Spent so much time helping me create the perfect ring stack. So happy with my purchases thanks to his insight!,Brooklyn,0,2024-02-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,Ruthie Leifer,
Had such a great experience at this location. The sales person who helped me went above and beyond. I felt welcomed and I found exactly what I wanted. I dont know if I would have picked it out for myself if it werent for his recommendation.,Brooklyn,0,2024-02-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,Maria Randazzo,
Fantastic experience shopping at this location today. Kara and Kim were both knowledgeable and extremely personable. I am really happy with my purchase and look forward to visiting this beautiful store again!,Brooklyn,0,2024-02-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,Monica,
Such a fun shopping experience with Geo. He was so helpful and has amazing taste. I didnt come in to buy anything but I love what I ended up getting!,Brooklyn,0,2024-02-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,helen leifer,
The staff at Mejuri Williamsburg were so friendly and helpful in picking out jewelry for my wedding. They could not have been nicer!,Brooklyn,0,2024-05-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,Caitlin Cotter,
I had such a lovely experience at this store today. The stylist was so welcome and helpful. The jewellery was stunning. I highly recommend visiting this store!,Brooklyn,0,2024-02-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,Cathy Cooper,
I am a big fan of Mejuri. I have several pieces that I have purchased over the years. This store is very clean & well organized and the staff is very friendly :),Brooklyn,0,2024-02-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,Grace Baumiller,
This story has a lovely selection. Its spacious and very well lit. Staff is very friendly and helpful.,Brooklyn,0,2024-02-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,Jova Rodriguez,
Long wait no helpers need staff  or new management   they dont even have in store   items  you have to wait   an order on line,Brooklyn,0,2024-02-10 00:00:00,Mejuri,1,"107 N 6th St, Brooklyn, NY",NY,Harris N,
Olivia was so helpful. Showed me exactly what I was looking for. Very welcoming and warm environment.,Brooklyn,0,2024-02-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,Susana Valencia,
Kim was wonderful! Beautiful store.,Brooklyn,0,2024-03-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,Jenna F,
Absolutly perfect!,Brooklyn,0,2024-12-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,Maggie Overmann,
My Croissant Ring became green after a week.,Brooklyn,4,2024-02-10 00:00:00,Mejuri,1,"107 N 6th St, Brooklyn, NY",NY,mer por,
Really kind service and product quality,Brooklyn,0,2024-02-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,Cele Mendez,
Nice staff!,Brooklyn,0,2024-03-10 00:00:00,Mejuri,5,"107 N 6th St, Brooklyn, NY",NY,Wiz Jihye S,
Laura was fantastic!  She was professional and friendly.  I found the perfect chain for a family heirloom pennant. Excellent experience. Quality products.  I will definitely shop here again.,New York,0,2025-01-20 00:00:00,Mejuri,5,"144 5th Ave, New York, NY",NY,Marc Todd,
"Sales associate was very friendly and professional, made me want to return for a special occasion. The displays can be worked on because you cant see individual prices but overall, a pretty store and beautiful jewelry!",New York,0,2025-01-20 00:00:00,Mejuri,5,"144 5th Ave, New York, NY",NY,Zolzaya Enkhtuvshin,
"I randomly walked by and saw a sign that stated Mejuri had piercing services. Despite it being 7:30 pm on a cold Monday night, I walked in and was greeted warmly by staff. I inquired about their piercing services. My intention was to obtain info about their services and come back another day to get my tragus lobe pierced. I was ultimately introduced to the piercer, Mo. Mo was great!! She was friendly and professional. Based off of her vibe, I made the spontaneous decision to pierce my tragus on the spot. Mo did it in a fashion that barely caused any pain/discomfort. I loved the piercing instantly!!  Im already trying to adjust my schedule to confirm a second piercing appointment with Mo before the month is over.",New York,0,2025-01-20 00:00:00,Mejuri,5,"144 5th Ave, New York, NY",NY,Martina R.,
"Horrible exchange policy. Was given a gift and was not allowed to exchange it (for a more expensive item I was going to pay for) because it was outside of the 30 days. I understand for returns, but for exchanges thats absurd. Never shop here if you are giving someone a gift, or be 1000% sure theyll love it.",New York,0,2025-01-13 00:00:00,Mejuri,1,"144 5th Ave, New York, NY",NY,Theo van der Meer,
"I went in for an exchange, and it was so simple and easy! The Mejuri staff really made it so seamless. I was also able to pick up matching bracelets for myself and my mother with help from Colette, who was wonderful to work with. So personable, kind, and so many good suggestions! I really appreciate the staff here, and I couldnt have asked for a better experience!",New York,0,2024-08-10 00:00:00,Mejuri,5,"144 5th Ave, New York, NY",NY,Caleb Kim,
"I really dont write reviews but I was extremely shocked and unimpressed by how I was treated at this location. Im going to make this VERY clear that I work within the retail sector and have been for 10+ years, WITH experience in jewelry, so I know what great CX is supposed to look like.Firstly, I was made to feel like I wasnt wanted in the store. I came in with high intent to purchase (and I did), but not a single associate greeted me, or asked me for help as I was visibly browsing. I had to flag an employee to discuss the earring selection.She was ""kind"", but was also speaking to me as if I couldnt afford a $500.00 pair of solid gold hoops? Very insulting, because it wasnt once, it was multiple times I was spoken to in a condescending manner about price range. THAT truly spoiled the experience, and because of that Ill either shop online or never again with the brand.If I came in with the intention to buy real gold hoops, that was going to be a sale you lost because of how I was spoken to. Do better, and treat every single customer with the same courtesy.The singular star is because I love my earrings and am happy with my purchase, but I think Ill continue to support the mom and pop shops that are the real purveyors of the NYC jewelry scene.",New York,0,2024-09-10 00:00:00,Mejuri,1,"144 5th Ave, New York, NY",NY,Jessica Taylor,
"I bought a ring at another Mejuri store on November 24th and was told I could have it engraved. However, when I went to Mejuri Flatiron to do this, I was told their engraving machine was broken.Almost a month later, the machine still isnt fixed, and Ive received no updates. I love the ring, but the lack of service and communication has been very disappointing.",New York,0,2025-01-10 00:00:00,Mejuri,1,"144 5th Ave, New York, NY",NY,Romina C,
Beautiful and very clean store. All the stylists I interacted with here made me feel welcomed and were nice. The kind of shopping environment I hope for in every store. Would recommend visiting this location.,New York,0,2024-12-10 00:00:00,Mejuri,5,"144 5th Ave, New York, NY",NY,C,
AVOID! Horrible customer service here. Blonde lady who opens the door kept glaring and whispering under her breath while the Asian sales associate acted annoyed. Both looked displeased to do their JOBS and like theyd rather be anywhere but there. Would recommend going to Maria Tash instead of Mejuri.,New York,0,2024-12-10 00:00:00,Mejuri,1,"144 5th Ave, New York, NY",NY,C S.,
